абортивный, Adj, абортивный, negative, fact
аборт, Noun, аборт, negative, fact
абракадабра, Noun, абракадабра, negative, opinion
абсурдность, Noun, абсурдность, negative, opinion
абсурдный, Adj, абсурдный, negative, opinion
абсурд, Noun, абсурд, negative, opinion
авантюра, Noun, авантюра, negative, opinion
авантюризм, Noun, авантюризм, negative, opinion
авантюристический, Adj, авантюристический, negative, opinion
авантюристка, Noun, авантюристка, negative, opinion
авантюристский, Adj, авантюристский, negative, opinion
авантюрист, Noun, авантюрист, negative, opinion
авантюрный, Adj, авантюрный, negative, opinion
аварийность, Noun, аварийность, negative, fact 
аварийный, Adj, аварийный, negative, fact 
авария, Noun, авария, negative, fact
авиакатастрофа, Noun, авиакатастрофа, negative, fact 
авиакрушение, Noun, авиакрушение, negative, fact
авианалет, Noun, авианалет, negative, fact
авиаудар, Noun, авиаудар, negative, fact 
авиационный налет, NG, авиационный налет, negative, fact
авитаминозный, Adj, авитаминозный, negative, fact
авитаминоз, Noun, авитаминоз, negative, fact 
авральный, Adj, авральный, negative, opinion
аврал, Noun, аврал, negative, opinion
автовор, Noun, автовор, negative, fact
автоматная очередь, NG, автоматный очередь, negative, fact
автоматный огонь, NG, автоматный огонь, negative, fact
автомобильная пробка, NG, автомобильный пробка, negative, fact
автоподстава, Noun, автоподстава, negative, fact
авторитаризм, Noun, авторитаризм, negative, opinion
авторитарность, Noun, авторитарность, negative, opinion
авторитарный, Adj, авторитарный, negative, opinion
авторитетность, Noun, авторитетность, positive, opinion
авторитетный, Adj, авторитетный, positive, opinion
авторитет, Noun, авторитет, positive, opinion
автоугонщик, Noun, автоугонщик, negative, fact
автоугон, Noun, автоугон, negative, fact
агент иностранной разведки, NG, агент иностранный разведка, negative, fact
агитка, Noun, агитка, negative, opinion
агонизировать, Verb, агонизировать, negative, opinion
агония, Noun, агония, negative, opinion
агрессивность, Noun, агрессивность, negative, opinion
агрессивный, Adj, агрессивный, negative, opinion
агрессия, Noun, агрессия, negative, opinion
агрессорский, Adj, агрессорский, negative, opinion
агрессор, Noun, агрессор, negative, opinion 
адаптационный, Adj, адаптационный, positive, opinion
адаптация, Noun, адаптация, positive, opinion
адаптивность, Noun, адаптивность, positive, opinion
адаптивный, Adj, адаптивный, positive, opinion
адаптироваться, Verb, адаптироваться, positive, opinion
адекватность, Noun, адекватность, positive, opinion
адекватный, Adj, адекватный, positive, opinion
административное воздействие, NG, административный воздействие, negative, fact
административное давление, NG, административный давление, negative, fact
административные меры, NG, административный мера, negative, fact
административный барьер, NG, административный барьер, negative, fact
адовый, Adj, адовый, negative, opinion  
адов, Adj, адов, negative, opinion
адский, Adj, адский, negative, opinion
ад, Noun, ад, negative, opinion
ажиотажный, Adj, ажиотажный, negative, fact 
ажиотаж, Noun, ажиотаж, negative, opinion 
ажитация, Noun, ажитация, negative, feeling
аккуратистка, Noun, аккуратистка, positive, opinion
аккуратист, Noun, аккуратист, positive, opinion
аккуратность, Noun, аккуратность, positive, opinion
аккуратный, Adj, аккуратный, positive, opinion
активность, Noun, активность, positive, opinion
активный, Adj, активный, positive, opinion
актуальность, Noun, актуальность, positive, opinion
актуальный, Adj, актуальный, positive, opinion
алкатель, Noun, алкатель, negative, opinion
алкашка, Noun, алкашка, negative, opinion
алкоголизация, Noun, алкоголизация, negative, fact
алкоголизм, Noun, алкоголизм, negative, fact 
